question,response
Is there a way to change a person's mind?,No I wouldn’t use this button because I have no regrets on the choices that I made in my life. I wouldn’t reset anything.
Is there a superpower?,If I had a super power I would have chosen the super speed like the flash. Because it is a very convenient power that could help a lot of people and myself of course. Not only speed comes with this power but once it is mastered you can control time with it.
What are some superpowers?,If I had a super power I would have chosen the super speed like the flash. Because it is a very convenient power that could help a lot of people and myself of course. Not only speed comes with this power but once it is mastered you can control time with it.
How do I respond to constructive criticism?,I am able to take constructive criticism. It is not something you usually want to hear but it is something that helps a lot for personal growth. So I think that I am mature enough to hear what people can say about me and take only the positive impact that does on me.
How do you respond to constructive criticism?,I am able to take constructive criticism. It is not something you usually want to hear but it is something that helps a lot for personal growth. So I think that I am mature enough to hear what people can say about me and take only the positive impact that does on me.
What is the best way to cheer you up?,When I am feeling down usually food cheers me up. But only good things. I am not a big fan of junk food so when I say food I mean one good home cooked meal can cheer me up.
What is the best way to cheer yourself up?,When I am feeling down usually food cheers me up. But only good things. I am not a big fan of junk food so when I say food I mean one good home cooked meal can cheer me up.
A number of people take on the idea of creating a number of people.,"It depends on the contexte of course but I am usually the type of person that takes initiative. For example when we want to organize a trip with friends, I am usually the one who takes care of most of things like booking the places find the flight tickets etc…."
A number of people take on the idea of forming a group.,"It depends on the contexte of course but I am usually the type of person that takes initiative. For example when we want to organize a trip with friends, I am usually the one who takes care of most of things like booking the places find the flight tickets etc…."
What are some of the greatest historical figures in history?,"I would love to meet Habib bourguiba, the first président of Tunisia and also ATaturk."
What are some of the greatest historical figures?,"I would love to meet Habib bourguiba, the first président of Tunisia and also ATaturk."
"If you were a fictional character, who would you be and why?","I would be cinderalla, I like that she’s independent  but also a princes."
,"Fox because it’s a curious and eager for discovery, social, but also very independent."
,"Fox because it’s a curious and eager for discovery, social, but also very independent."
What are some of the best movies in the world?,I love watching comedies movies.
What are some of the best movies to watch?,I love watching comedies movies.
A.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,"I would go to the nearest police station and give it, the person would directly go there to look for it."
"A.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,C.C.C","I would go to the nearest police station and give it, the person would directly go there to look for it."
What are some of the funniest things you have ever experienced?,"The time we went to dine at a Michelin-starred restaurant, and my mom was giving my dad a lesson on etiquette and how to behave."
What are some of the funniest stories you have ever heard?,"The time we went to dine at a Michelin-starred restaurant, and my mom was giving my dad a lesson on etiquette and how to behave."
What is the best way to respond to a problem in a team?,"I try to understand where the problem comes from. I analyze the situation, listen to everyone’s point of view."
What are some of the best examples of what goes wrong in a team?,"I try to understand where the problem comes from. I analyze the situation, listen to everyone’s point of view."
What is the best way to organize a team?,"I start with a kickoff meeting to assign clear tasks to everyone. I check in regularly everyone’s progress and to address any issues. Before the deadline, we meet again to review each person’s progress and finalize the project."
What is the best way to create a team?,"I start with a kickoff meeting to assign clear tasks to everyone. I check in regularly everyone’s progress and to address any issues. Before the deadline, we meet again to review each person’s progress and finalize the project."
What are some of the most important life lessons?,"You shouldn’t leave things unsaid because it will only create more tension, and you will end up feeling even more frustrated with the person. Small issues can turn into bigger problèmes."
What is the most important thing you have ever done?,"You shouldn’t leave things unsaid because it will only create more tension, and you will end up feeling even more frustrated with the person. Small issues can turn into bigger problèmes."
What is the best way to learn a new skill?,I would choose to master singing. I always wanted to know how to sing. I think that music is the best form of art.
What are some of the greatest creative skills?,I would choose to master singing. I always wanted to know how to sing. I think that music is the best form of art.
"If you could describe your personality using a weather forecast, what would it be?",I would describe my personality as a sunny day with 25 degrees Celsius. The kind of day that everyone enjoy and the kind of day that you can do any outdoors acitivity as well as indoor activities. It describes my multitasking kind of personality I have.
What is the best way to know what will happen next?,I handle it pretty well because it is not in my power to change the outcome. Even if I don’t like the situation where I don’t know what comes next because I like having control of every situation.
What is the best way to know what is next?,I handle it pretty well because it is not in my power to change the outcome. Even if I don’t like the situation where I don’t know what comes next because I like having control of every situation.
What is the best way to address an awkward situation?,"When I am faced with an awkward situation, I usually stay silent after that. It makes the situation more awkward but it is my go to response."
What is the best way to deal with an awkward situation?,"When I am faced with an awkward situation, I usually stay silent after that. It makes the situation more awkward but it is my go to response."
What are some of the best names for your family?,It would be best family ever.
What are some of the best names for a family?,It would be best family ever.
What is the best way to make a good decision?,"I use both, at first my instincts but I try to resonate so I can make the best choice."
What is the best way to make a decision?,"I use both, at first my instincts but I try to resonate so I can make the best choice."
What are some of the most important values in life?,"Family, ambition and authenticity."
What are the three most important values in life?,"Family, ambition and authenticity."
What is the best way to ask for a wish?,"1. Health for myself and all of my family 
2. Help me to get where I want in life 
3. Be rich."
What is the best way to make a wish?,"1. Health for myself and all of my family 
2. Help me to get where I want in life 
3. Be rich."
"If you had a choice, who would you choose and why?","I would chose my past to let them now how I am doing, and that we are getting there so they feel less anxious."
"If you had a choice, who would you choose?","I would chose my past to let them now how I am doing, and that we are getting there so they feel less anxious."
What is the importance of loyalty in a relationship?,It’s one of the most import value for me in a relationship. You need people to count on and not people who can let you down.
Is loyalty important in a relationship?,It’s one of the most import value for me in a relationship. You need people to count on and not people who can let you down.
"In times of stress, do you turn to your family for support?",Yes in times of stress I turn to my family for support. In difficult time it is important to have someone that you can talk to and a family member is always better because they are the ones that know you the best.
"In times of stress, do you turn to your family for help?",Yes in times of stress I turn to my family for support. In difficult time it is important to have someone that you can talk to and a family member is always better because they are the ones that know you the best.
We are a human being. We are a human being.,I would say tha t j think more in images. Visualization is my technic. When I am having a problem I always try to visualize the situation and the different solution to be able to understand more what it is happening.
What are some of the best ways to think about the world?,I would say tha t j think more in images. Visualization is my technic. When I am having a problem I always try to visualize the situation and the different solution to be able to understand more what it is happening.
What is the difference between an introvert and an extrovert?,I am extroverted. I have the ability to go talk to anybody at any time without being shy. I consider myself as extroverted because I am very comfortable socially.
What is the difference between being an introvert and being an extrovert?,I am extroverted. I have the ability to go talk to anybody at any time without being shy. I consider myself as extroverted because I am very comfortable socially.
Is it true that you are closer to a loved one?,Yes I am  closer to my sisters. They are everything that I wish for. Always here to support me and help when I need it. We are in super good terms we know each other and we are always here for each other.
Is it true that you are closer to a person than a person?,Yes I am  closer to my sisters. They are everything that I wish for. Always here to support me and help when I need it. We are in super good terms we know each other and we are always here for each other.
What are some of the best memories of your life?,"It would be the weekend with my friends in Hammamet. We were ten girls in the apparement. We spend the day swimming and the night dancing. It was the last weekend before we started working, so we felt completely free, with no worries or responsibilities. It was a moment of pure happiness and carefree. I would love to experience it again."
Is it true that you have been training for a long time? How do you react?,"I would feel very bad inside because I worked hard. It would be disappointing and frustrating, but I wouldn’t show my feelings to the other person."
Is it true that you have been training for a long time?,"I would feel very bad inside because I worked hard. It would be disappointing and frustrating, but I wouldn’t show my feelings to the other person."
A.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,"I would post about it on social media in large community groups. I would also inform nearby restaurants and shops, letting them know that I found the wallet and giving them my phone number in case the owner comes looking for it."
A.C.L.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,"I would post about it on social media in large community groups. I would also inform nearby restaurants and shops, letting them know that I found the wallet and giving them my phone number in case the owner comes looking for it."
What is the difference between harmony and confrontation?,"I don’t like tension or conflict, so I usually listen to others and try to understand their point of view. If possible, I look for a compromise that makes everyone feel comfortable."
"What is better, harmony or confrontation?","I don’t like tension or conflict, so I usually listen to others and try to understand their point of view. If possible, I look for a compromise that makes everyone feel comfortable."
"In times of stress, do you turn to your family for support?","Yes , I always get help from family when I am stresse, they handle stress better than me so they help me a lot."
"In times of stress, do you turn to your family for help?","Yes , I always get help from family when I am stresse, they handle stress better than me so they help me a lot."
Is your friend making a big mistake in his/her life?,"I usually  give them advice nicely and honestly, after they do whatever they want even if they don’t listen to me."
Is your friend making a big mistake in their personal life?,"I usually  give them advice nicely and honestly, after they do whatever they want even if they don’t listen to me."
What is the best way to spend a day with your loved ones?,I would spend it with my family and my friend around the beach and shopping and eating.
What is the best way to spend a day with a stranger?,I would spend it with my family and my friend around the beach and shopping and eating.
A.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.A.C.C,I would say sorry if I am wrong but if no one helped I ll telle them that they should have helped me.
A.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,I would say sorry if I am wrong but if no one helped I ll telle them that they should have helped me.
What is the best way to get rid of a lie?,"It depends on how the lie is big, but usually I confront them I am very honest person and I don’t like lies."
What is the best way to stop someone who is lying to you?,"It depends on how the lie is big, but usually I confront them I am very honest person and I don’t like lies."
How do you handle a conflict in a relationship?,"I don’t like conflicts. I listen to what others have to say, but I don’t respond in the heat of the moment. I take some time alone to calm down."
What is the best way to handle a conflict in a relationship?,"I don’t like conflicts. I listen to what others have to say, but I don’t respond in the heat of the moment. I take some time alone to calm down."
... Who in your family has influenced you?,"My little brother. He has always been honest with himself and others. His intelligence and kindness make him someone I truly admire. He has a heart of gold and is always ready to help others without expecting anything in return. He also fully accepts his flaws, which makes him even more authentic."
What are some of the most influential people in your life?,"My little brother. He has always been honest with himself and others. His intelligence and kindness make him someone I truly admire. He has a heart of gold and is always ready to help others without expecting anything in return. He also fully accepts his flaws, which makes him even more authentic."
What is the best way to show your love and appreciation to your family?,With hugs and loving words. I will hug them 10 times a day and tell them I love them every hour.
What is the best way to show love and appreciation to your family?,With hugs and loving words. I will hug them 10 times a day and tell them I love them every hour.
Is it possible to change your life for a day?,"A singer such as Miley Cyrus, just to see what it’s like for a day to be a celebrity, and to have an amazing voice."
Is it possible to change your life for the better?,"A singer such as Miley Cyrus, just to see what it’s like for a day to be a celebrity, and to have an amazing voice."
What is the best way to find out about a company's unethical practices?,"It depends on the context. If it involves child labor or slavery, I would resign and report it to the proper authorities. If it’s something less serious, I would talk about it with others."
What is the best way to know if a company is engaging in unethical practices?,"It depends on the context. If it involves child labor or slavery, I would resign and report it to the proper authorities. If it’s something less serious, I would talk about it with others."
What is the most difficult thing you have ever done?,Moving to Canada is the most difficult moment I faced. It was hard because I moved to a country that I don’t know and getting out of my comfort zone. I overcame it by being my self and I had tiny leash the social and extrovert person in me to be able to make some new friends and with the a great group of friends you can overcome a lot of obstacles.
What is the most difficult thing you have ever faced?,Moving to Canada is the most difficult moment I faced. It was hard because I moved to a country that I don’t know and getting out of my comfort zone. I overcame it by being my self and I had tiny leash the social and extrovert person in me to be able to make some new friends and with the a great group of friends you can overcome a lot of obstacles.
... Who in your family has influenced you?,"My dad has the influenced me the most. He is a great example for em and a great success story. He is calm and diplomatic  he has a very good communication and negotiation skills and he is the biggest hardworker person I know. By observing him every day and talking to him, he tends to influence me to become more like him."
What are some of the most influential people in your life?,"My dad has the influenced me the most. He is a great example for em and a great success story. He is calm and diplomatic  he has a very good communication and negotiation skills and he is the biggest hardworker person I know. By observing him every day and talking to him, he tends to influence me to become more like him."
"In a meeting, a colleague takes credit for your idea. How do you respond?",I react calmly. I don’t do my job for the fame but to learn. If he wants the credit he can have them. But he will take the responsibilities that comes with the idea. I won’t be helping him.
"In a meeting, a colleague takes credit for your idea. How do you react?",I react calmly. I don’t do my job for the fame but to learn. If he wants the credit he can have them. But he will take the responsibilities that comes with the idea. I won’t be helping him.
How do you know if you have a good gut feeling?,"When I face a big decision I analyze every option carefully. Once I analyzed them all, It is easier to make the decision based on the outcome that I want to reach."
What is the best way to analyze a decision?,"When I face a big decision I analyze every option carefully. Once I analyzed them all, It is easier to make the decision based on the outcome that I want to reach."
What do you value most in a relationship?,Honesty and being ethical and correct is what I value the most in friendship or professional relationship. I want the people that are around me to be nice people with great values and some honor.
What do you value in a relationship?,Honesty and being ethical and correct is what I value the most in friendship or professional relationship. I want the people that are around me to be nice people with great values and some honor.
What is the best way to de-escalate?,"I ‘ll probably stop answering, if that person is stuborn why bother."
What is the best way to de-escalate an argument?,"I ‘ll probably stop answering, if that person is stuborn why bother."
What is the best way to describe yourself in five words?,"Curious , pleasant, stressed, funny and ambitions."
What are some of the best ways to describe yourself in five words?,"Curious , pleasant, stressed, funny and ambitions."
What is the best way to learn a new skill?,Playing tennis.
What is the best way to learn a skill?,Playing tennis.
What is the best way to deal with a stranger in the middle of an important task?,I usually show a lot my emotion so i can’t hide it. I’ll probably go somewhere and Stay alone.
What is the best way to deal with a stranger in the middle of a task?,I usually show a lot my emotion so i can’t hide it. I’ll probably go somewhere and Stay alone.
Is it better to be organized or to be spontaneous?,It dépends a lot on the situation i am usually organized but i can be spontaneous.
Is it better to be spontaneous?,It dépends a lot on the situation i am usually organized but i can be spontaneous.
What is the most important thing in life?,"I would choose the memory of me having a sleepover with all my cousins during the new year eve. It was so much fun all together. It represents my most important value, which is family always comes first."
What is the best memory you have?,"I would choose the memory of me having a sleepover with all my cousins during the new year eve. It was so much fun all together. It represents my most important value, which is family always comes first."
Is there a superpower?,I would choose the superpower to be super fast like the flash. Because having that speed is kind of having different super power including controlling the time.
What are some superpowers?,I would choose the superpower to be super fast like the flash. Because having that speed is kind of having different super power including controlling the time.
What is the most spontaneous thing you've ever done?,I went on a week end trip with my best friend discovering the state of Quebec. We took one bag each and we rented a car and have one amazing week end.
What is the most spontaneous thing you have ever done?,I went on a week end trip with my best friend discovering the state of Quebec. We took one bag each and we rented a car and have one amazing week end.
How do you know if you have a good gut feeling?,I analyze every option carefully because it helps me being calm and especially super confident about what I am doing.
What is the best way to analyze a decision?,I analyze every option carefully because it helps me being calm and especially super confident about what I am doing.
Is it true that people rarely change?,I believe in second chances depending on the people. When the person is fundamentally bad it will never change. But in some people in their profond dark side sometimes we can see some light and these people can change.
Is it true that most people don't change?,I believe in second chances depending on the people. When the person is fundamentally bad it will never change. But in some people in their profond dark side sometimes we can see some light and these people can change.
"If you had a choice, who would you choose and why?",Future self: I would want to know if I have any regrets about the choices I made in my life and  change certain decisions before it’s too late.
"If you had a choice, who would you choose?",Future self: I would want to know if I have any regrets about the choices I made in my life and  change certain decisions before it’s too late.
Is it natural to be good?,Naturaliy good:  I think that kindness and empathy are natural traits.
Is it true that people are naturally good?,Naturaliy good:  I think that kindness and empathy are natural traits.
Do you remember a game from your childhood that you still remember?,Playing Just Dance on the Wii with my best friends. I still think about that whenever i listen to some of the songs.
What are some of the things you remember from your childhood?,Playing Just Dance on the Wii with my best friends. I still think about that whenever i listen to some of the songs.
What is your family tradition?,Each Sunday we would go to have lunch at my grandma and it was so fun because you meet with all of your cousins.
What are some of your family traditions?,Each Sunday we would go to have lunch at my grandma and it was so fun because you meet with all of your cousins.
What is the best way to show your love and appreciation to your family?,I tell them that I love them or hug them.
What is the best way to show love and appreciation to your family?,I tell them that I love them or hug them.
What is the best way to describe a person?,generous.
What are some of the best ways to describe yourself?,generous.
What are some of the best names for your family?,"Caring, fun, generous."
What are some of the best names for a family?,"Caring, fun, generous."
How do I respond to constructive criticism?,"I usually react well, I listen and try to do better."
How do you respond to constructive criticism?,"I usually react well, I listen and try to do better."
What is the best way to get an emotional response?,"When me and my mom argue it triggers a strong emotional reaction from me. Our argument is usually intense and since we think alike, the situation escalate quickly and it gets really emotional."
What is the best way to control your emotions?,"When me and my mom argue it triggers a strong emotional reaction from me. Our argument is usually intense and since we think alike, the situation escalate quickly and it gets really emotional."
What is your relationship to your family?,I have a very good relationship with my family. We all get along and we are all around the same age that means that we grew up super close together.
What is your relationship with your family?,I have a very good relationship with my family. We all get along and we are all around the same age that means that we grew up super close together.
A.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,If there is no id and no way to identify to who this money belong than I will consider it as a gift from god.
A.C.L.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,If there is no id and no way to identify to who this money belong than I will consider it as a gift from god.
What is your happiest memory?,My happiest childhood memory is new year eve with all my cousins. We all got together played some games and watched movies danced and laughed.
What are some of your happiest memories?,My happiest childhood memory is new year eve with all my cousins. We all got together played some games and watched movies danced and laughed.
What is the best way to spend a day with your loved ones?,"I will spend it with my family, girlfriend and friends having a big lunch and bbq in a beach house in Tunisia enjoying the beach the sun, the drinks and the good company."
What is the best way to spend a day with a stranger?,"I will spend it with my family, girlfriend and friends having a big lunch and bbq in a beach house in Tunisia enjoying the beach the sun, the drinks and the good company."
What are some of the most important things to do in a day?,"Fuller House: Everyone gets involved in each other’s business, but always with good intentions and without judgment."
What are some of the most important things to do in a single day?,"Fuller House: Everyone gets involved in each other’s business, but always with good intentions and without judgment."
"In a meeting, a colleague takes credit for your idea. How do you respond?",It will be frustrating and inwill be mad. I will talk to my colleague afterward to address the situation and make sure my contributions are recognized.
"In a meeting, a colleague takes credit for your idea. How do you react?",It will be frustrating and inwill be mad. I will talk to my colleague afterward to address the situation and make sure my contributions are recognized.
Who are you? Who are you?,The Palestinian cause: There is a lot of injustice surrounding the situation. Everyone deserves to live in safety and dignity.
Who are you and why?,The Palestinian cause: There is a lot of injustice surrounding the situation. Everyone deserves to live in safety and dignity.
What is the best way to take a risk?,"If its a game with some friends i would take a risk but if it’s a serious competition i wouldn’t take the risk , especially that i want to win FairPlay."
How do you know if you are cheating?,"If its a game with some friends i would take a risk but if it’s a serious competition i wouldn’t take the risk , especially that i want to win FairPlay."
What is the best way to solve a puzzle?,"it depends, I like challenges more than puzzles but small ones because I don’t have a lot of patience."
How do you solve a puzzle?,"it depends, I like challenges more than puzzles but small ones because I don’t have a lot of patience."
"What role do you usually take in your family (e.g., mediator, leader, quiet one)?",The funny one.
"What role do you normally take in your family (e.g., mediator, leader, quiet one)?",The funny one.
"In times of stress, do you turn to your family for support?",Yes. My family is a great source of moral support for me. They help me calm down and stay organized.
"In times of stress, do you turn to your family for help?",Yes. My family is a great source of moral support for me. They help me calm down and stay organized.
What is the best way to give a person a hug and a kiss?,I would tell them the truth I am very honest person and I hate laying.
How do you respond to a stranger who asks you for your opinion?,I would tell them the truth I am very honest person and I hate laying.
I have a friend who confided in me about something they did. Do you have a secret?,"It depends on how illegal it is, i would just rather not know."
I have a friend who confides in me about something they did. Do you have a secret?,"It depends on how illegal it is, i would just rather not know."
What is the best way to deal with a stranger?,I would ignore them. Reacting might give them the satisfaction they are looking for.
What are some of the best ways to deal with a stranger?,I would ignore them. Reacting might give them the satisfaction they are looking for.
Unconsciousness: What do you do when your friend is talking about you behind your back?,"I ignore it, but I no longer give them any importance. I remove them from my list of friends and no longer trust them."
Unconsciousness: What do you do when someone is talking about you behind your back?,"I ignore it, but I no longer give them any importance. I remove them from my list of friends and no longer trust them."
What are some of the best examples of a person's life?,"My best friend’s illness. Life is short, and we never know what it has in store for us. We need to enjoy it and surround ourselves with the people we love."
What are some of the most interesting facts about a person?,"My best friend’s illness. Life is short, and we never know what it has in store for us. We need to enjoy it and surround ourselves with the people we love."
What is your family tradition?,"Sunday lunch at my grandmother’s house. The whole family gathers, we eat well, talk about everything, and share lots of laughter."
What are some of your family traditions?,"Sunday lunch at my grandmother’s house. The whole family gathers, we eat well, talk about everything, and share lots of laughter."
"In times of stress, do you turn to your family for support?",Yes I am a very stressed person so whenever I feel anxious I’ll go to them so they can calm me down.
"In times of stress, do you turn to your family for help?",Yes I am a very stressed person so whenever I feel anxious I’ll go to them so they can calm me down.
Is it true that your friend just told you they failed?,"I’ll try to cheer them up, go do something fun to change their thought , and tell them that’s how you learn and it’s only something small and they will do better next time."
Is it true that your friend just told you that they failed?,"I’ll try to cheer them up, go do something fun to change their thought , and tell them that’s how you learn and it’s only something small and they will do better next time."
Is it true that you disagree with a person's political or social views?,It depend if I am going to learn something I’ll argue if he’s a stubborn person I’ll just avoid any topic related.
Is it true that you disagree with a friend's political or social views?,It depend if I am going to learn something I’ll argue if he’s a stubborn person I’ll just avoid any topic related.
What is the first memory you can remember?,I don’t know.
What is the first memory you remember?,I don’t know.
Is it true that you are about to achieve a big goal but an unexpected obstacle appears?,It depends if I am psychologically weak I’ll adjust my expectations and if I am ok mentally and I can keep going I’ll push through.
Is it true that you are about to accomplish a big goal but an unexpected obstacle appears?,It depends if I am psychologically weak I’ll adjust my expectations and if I am ok mentally and I can keep going I’ll push through.
"If you were a fictional character, who would you be and why?","I would be Elizabeth Bennet from the book Pride and Prejudice. She is intelligent, independent, and has a strong personality. She is not afraid to speak her mind and stand up for what she believes in."
What are some of the greatest historical figures in history?,"Cleopatra: Meeting her would be an amazing opportunity to understand her leadership, her vision for Egypt, and the strength of her character."
What are some of the greatest historical figures?,"Cleopatra: Meeting her would be an amazing opportunity to understand her leadership, her vision for Egypt, and the strength of her character."
What is the best way to solve a puzzle?,"At first, I love it. They are exciting and make me think. But if I can’t find the solution quickly, I get very frustrated. It annoys me when I feel stuck, and I just give up."
How do you solve a puzzle?,"At first, I love it. They are exciting and make me think. But if I can’t find the solution quickly, I get very frustrated. It annoys me when I feel stuck, and I just give up."
Is it true that your boss gives you credit for work that you actually did?,Yes. If I receives credits for something I didn’t do I will correct it because I consider that everyone needs to be recognized for their work.
Is it true that your boss gives you credit for work that your colleague actually did?,Yes. If I receives credits for something I didn’t do I will correct it because I consider that everyone needs to be recognized for their work.
What are some of the best examples of a person's life?,"Moving to Canada changed my perspective on life. It was a life experience that changed my way to see everything because when you live alone far from everyone, it gets hard mentally and you start learning the value of everything you had and you will learn to cherish them."
What are some of the most interesting facts about a person?,"Moving to Canada changed my perspective on life. It was a life experience that changed my way to see everything because when you live alone far from everyone, it gets hard mentally and you start learning the value of everything you had and you will learn to cherish them."
Is it better to be a listener or a talker?,I am more of a listener in a conversation.
What is the difference between a listener and a talker?,I am more of a listener in a conversation.
What is the best way to get rid of a lie?,If I catch someone lying to me I will confront them immediately if we are in a private space and I am talking to him face to face. If we are discussing something in front of lot of people I will let it go and confront him later.
What is the best way to stop someone who is lying to you?,If I catch someone lying to me I will confront them immediately if we are in a private space and I am talking to him face to face. If we are discussing something in front of lot of people I will let it go and confront him later.
Is there a person who criticizes your work?,It depends on who criticizes my work. If it is my manager I will take as a motivation if it is someone that has no relation to my work I will take personally because they don’t have to criticize something that they have no knowledge about.
Is there a person who criticizes my work?,It depends on who criticizes my work. If it is my manager I will take as a motivation if it is someone that has no relation to my work I will take personally because they don’t have to criticize something that they have no knowledge about.
What are some of the most important things to do in a day?,I would chose comedy  because they are fun pleasant.
What are some of the most important things to do in a single day?,I would chose comedy  because they are fun pleasant.
Is there a difference between a quiet and a lively place?,"Lively destination where chaos reigns, places like Istanbul."
What is the difference between a quiet and a lively city?,"Lively destination where chaos reigns, places like Istanbul."
What is the one thing that you will never compromise on?,To always be there for my family.
What is the one thing you will never compromise on?,To always be there for my family.
Is it better to be a listener or a talker?,It depends on my mood but mos most  the time I am a listener.
What is the difference between a listener and a talker?,It depends on my mood but mos most  the time I am a listener.
What is the best way to de-escalate?,I just don’t answer anymore and let it go.
What is the best way to de-escalate an argument?,I just don’t answer anymore and let it go.
What is the best way to describe yourself in one sentence?,Kind. I genuinely treat people with compassion.
What is the best way to describe a person in one sentence?,Kind. I genuinely treat people with compassion.
What would you do if you won a million dollars?,"I will give some money to my family and close ones. Then, I will donate to charities that are important to me, especially orphanages."
What would you do if you won a lottery?,"I will give some money to my family and close ones. Then, I will donate to charities that are important to me, especially orphanages."
Who is your hero?,My mother. She is a very strong person with a heart of gold. She is very empathetic and very intelligent.
Who is your childhood hero?,My mother. She is a very strong person with a heart of gold. She is very empathetic and very intelligent.
We are a human being. We are a human being.,I think mostly in words. It feels like I am talking to myself in my mind. Words help me organize my ideas clearly and logically.
What are some of the best ways to think about the world?,I think mostly in words. It feels like I am talking to myself in my mind. Words help me organize my ideas clearly and logically.
What is the best way to organize a team?,I organize the team with people I can trust and mainly engineers. Because they have the sens of urgency and organization.
What is the best way to create a team?,I organize the team with people I can trust and mainly engineers. Because they have the sens of urgency and organization.
Is it true that your boss gives you credit for work that you actually did?,Yes I correct them because everyone deserve to have credits for their work.
Is it true that your boss gives you credit for work that your colleague actually did?,Yes I correct them because everyone deserve to have credits for their work.
What are some of the best ways to handle unexpected situations?,I usually take a step back and take a deep breath. Because with a calm mind I am more able to concentrate for unexpected situations and find solution faster.
What are some of the best ways to handle an unexpected situation?,I usually take a step back and take a deep breath. Because with a calm mind I am more able to concentrate for unexpected situations and find solution faster.
What is the best way to take a risk?,No I don’t cheat. It is dishonest. If I can’t win with my full abilities then I don’t deserve to win. If I want to win I will work harder.
How do you know if you are cheating?,No I don’t cheat. It is dishonest. If I can’t win with my full abilities then I don’t deserve to win. If I want to win I will work harder.
Is there a way to change a person's identity?,No I won’t use it. I don’t have any regrets in my life and it is going exactly where I want it to go.
Is there a way to change a person's mind?,No I won’t use it. I don’t have any regrets in my life and it is going exactly where I want it to go.
Is it better to spend time alone or with friends?,"I prefer spending time with people I love, but sometimes I need my alone time to recharge my battery."
Is it better to be alone or to be with someone?,"I prefer spending time with people I love, but sometimes I need my alone time to recharge my battery."
Is it a good idea to have a conversation with a person on the phone?,"I am an honest person, so I would like for people to speak directly to me and say whatever they want to say."
Is it a good idea to have a conversation with a person?,"I am an honest person, so I would like for people to speak directly to me and say whatever they want to say."
Is it true that you work hard on a project but someone else is praised for it?,I hope he’s gonna be honest and say that I help him but if he’s not like it’s fine and I’ll get credit for another project and for my self-esteem I know that I did it.
Is it true that you work hard on a project but someone else gets praised for it?,I hope he’s gonna be honest and say that I help him but if he’s not like it’s fine and I’ll get credit for another project and for my self-esteem I know that I did it.
What is the best way to develop your creativity?,"It really depends like when I need to travel I organize myself before, but when I’m in that city or a place I’m visiting I like to do free flowing things."
Is it a good idea to be creative?,"It really depends like when I need to travel I organize myself before, but when I’m in that city or a place I’m visiting I like to do free flowing things."
Unconsciousness: What do you do when your friend is talking about you behind your back?,I will go to talk to them or just not talk to them at all anymore.
Unconsciousness: What do you do when someone is talking about you behind your back?,I will go to talk to them or just not talk to them at all anymore.
What is the best way to deal with stress?,"I don’t handle it very well. I am a very anxious person. In these situations, I try to take a moment for myself, reflect on the situation, and think about how to handle it peacefully."
What is the best way to cope with stress?,"I don’t handle it very well. I am a very anxious person. In these situations, I try to take a moment for myself, reflect on the situation, and think about how to handle it peacefully."
Is it a good idea to leave something behind?,"I stay. There will always be new opportunities, but the important people I love are irreplaceable."
Is it a good idea to leave behind something?,"I stay. There will always be new opportunities, but the important people I love are irreplaceable."
Is it better to talk about emotions or process them internally?,I process them internally. It’s not easy for me to express my feelings. I prefer to deal with them on my own. I need time to process my emotions before talking about them.
Is it better to talk about your emotions or process them?,I process them internally. It’s not easy for me to express my feelings. I prefer to deal with them on my own. I need time to process my emotions before talking about them.
What is the importance of loyalty in a relationship?,"Loyalty is really important to me. When I share my secrets and emotions, I need to feel safe. Trust is the foundation of any relationship."
